title,views,date_time,video_link,thumbnail_link
When Your Body Attacks Itself – Autoimmune,1.9M views,11 days ago,https://www.youtube.com/watch?v=efOW5NUTYB8,https://i.ytimg.com/vi/efOW5NUTYB8/hqdefault.jpg
How Nuclear Flies Protect You from Flesh-Eating Parasites,4.5M views,1 month ago,https://www.youtube.com/watch?v=zxq60I5RSW8,https://i.ytimg.com/vi/zxq60I5RSW8/hqdefault.jpg
Why Does Fentanyl Feel So Good?,6.6M views,1 month ago,https://www.youtube.com/watch?v=m6KnVTYtSc0,https://i.ytimg.com/vi/m6KnVTYtSc0/hqdefault.jpg
What If It Rains Bananas For A Single Day? (Spoiler: It's Bad),4M views,2 months ago,https://www.youtube.com/watch?v=tRXy-b6_lBc,
Your Time Machine Broke - At The Worst Time In History,4.8M views,2 months ago,https://www.youtube.com/watch?v=NYNBAxDfgrY,
SOUTH KOREA IS OVER,13M views,3 months ago,https://www.youtube.com/watch?v=Ufmu1WD2TSk,
Why Your Brain Blinds You For 2 Hours Every Day,6M views,3 months ago,https://www.youtube.com/watch?v=wo_e0EvEZn8,
If You Eat Meat You Should Know This,4.6M views,4 months ago,https://www.youtube.com/watch?v=5sVfTPaxRwk,
What Actual Aliens Might Look Like,7.6M views,5 months ago,https://www.youtube.com/watch?v=dCiMUWw1BBc&pp=0gcJCb4JAYcqIYzv,
The Real Reason Why You Have Allergies,5.9M views,7 months ago,https://www.youtube.com/watch?v=9zCH37330f8,
Is The World Getting More Violent?,4.4M views,7 months ago,https://www.youtube.com/watch?v=reSfF60-2S4,
Black Hole's Evil Twin - Gravastars Explained,6.7M views,7 months ago,https://www.youtube.com/watch?v=BmUZ2wp1lM8,
Vaping Is Too Good To Be True,7.1M views,7 months ago,https://www.youtube.com/watch?v=cHEOsKddURQ,
We Have To Talk About Weed,11M views,8 months ago,https://www.youtube.com/watch?v=qBRaI0ZeAf8,
The Most Insane Weapon You Never Heard About,11M views,8 months ago,https://www.youtube.com/watch?v=E55uSCO5D2w,
We Fell For The Oldest Lie On The Internet,7.2M views,8 months ago,https://www.youtube.com/watch?v=bgo7rm5Maqg,
Tired of Doomscrolling?,5.6M views,9 months ago,https://www.youtube.com/watch?v=c1nYtX-NUsc,
There Is Life Hiding Inside Earth,7M views,9 months ago,https://www.youtube.com/watch?v=VD6xJq8NguY,
This Video Might Save 58 Lives Next Week,5.1M views,9 months ago,https://www.youtube.com/watch?v=oTx-GSF3cts,
Why Scientists Are Puzzled By This Virus,4.7M views,9 months ago,https://www.youtube.com/watch?v=SbvAaDN1bpE,
We Need to Rethink Exercise (Updated Version),4.5M views,10 months ago,https://www.youtube.com/watch?v=vSSkDos2hzo&pp=0gcJCb4JAYcqIYzv,
We Traveled Back in Time. Now Physicists Are Angry.,7.8M views,10 months ago,https://www.youtube.com/watch?v=dBxxi5XAm3U,
"Fever Feels Horrible, but is Actually Awesome!",8.4M views,10 months ago,https://www.youtube.com/watch?v=cRZOUcpiOxY,
A.I. ‐ Humanity's Final Invention?,9.9M views,11 months ago,https://www.youtube.com/watch?v=fa8k8IQ1_X0&pp=0gcJCb4JAYcqIYzv,
This Disease is Deadlier Than The Plague,9.7M views,1 year ago,https://www.youtube.com/watch?v=GFLb5h2O2Ww,
Do You Have a Free Will?,5.8M views,1 year ago,https://www.youtube.com/watch?v=UebSfjmQNvs,
We Are Making a VIDEO GAME,1.8M views,1 year ago,https://www.youtube.com/watch?v=3DFE8gZe9bA,
Your Hidden Superpower,1.3M views,1 year ago,https://www.youtube.com/watch?v=itBBsQRv0EU,
This Black Hole Could be Bigger Than The Universe,7.5M views,1 year ago,https://www.youtube.com/watch?v=71eUes30gwc,
Smoking is Awesome,12M views,1 year ago,https://www.youtube.com/watch?v=_rBPwu2uS-w,
